Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
24,13,16,30.61,135000,2,2,2,0
24,5,2.75,10.21,90000,1,2,1,0
14,9,3.6,15.04,70000,1,1,2,0
22,15,4.5,7.27,40534,1,1,1,0
14,10,4.75,18.54,50000,1,1,1,0
22,14,4.1,6.8,39485,1,1,1,1
24,14,19.99,35.96,41000,2,1,2,0
14,13,6.95,18.61,40001,1,1,1,0
22,15,4.5,7.7,40588,1,1,1,0
24,14,18.75,35.96,78000,2,1,2,0
24,15,23.5,35.96,47000,2,1,2,0
24,17,33,36.23,6000,2,1,2,0
24,14,4.75,6.95,45000,2,1,1,0
24,17,19.75,23.15,11000,1,1,2,0
24,10,9.25,20.45,59000,2,1,1,0
14,11,4.35,13.74,88000,1,1,1,0
14,16,14.25,20.91,12000,1,1,1,0
24,14,3.95,6.76,71000,2,1,1,0
14,11,4.5,12.48,45000,2,1,1,0
14,13,7.45,18.61,56001,1,1,1,0
24,11,2.65,5.71,43000,1,1,1,0
22,14,4.9,8.93,83000,2,1,1,0
22,15,3.95,6.8,36000,1,1,1,0
14,13,5.5,14.68,72000,1,1,1,0
14,4,1.5,12.35,135154,1,1,2,0
14,10,5.25,22.83,80000,1,1,2,0
24,12,14.5,30.61,89000,2,1,2,0
14,16,14.73,14.89,23000,2,1,1,0
24,15,4.75,7.85,40000,2,1,1,0
24,17,23,25.39,15000,2,1,2,0
24,15,12.5,13.46,38000,2,1,1,0
24,5,3.49,13.46,197176,2,1,1,0
14,6,2.5,23.73,142000,1,2,2,3
34,10,35,92.6,78000,2,1,1,0
14,12,5.9,13.74,56000,1,1,1,0
24,13,3.45,6.05,47000,1,1,1,0
22,14,4.75,6.76,40000,1,1,1,0
14,9,3.8,18.61,62000,1,1,1,0
24,14,11.25,16.09,58242,2,1,1,0
24,5,3.51,13.7,75000,1,1,1,0
24,15,23,30.61,40000,2,1,2,0
14,8,4,22.78,89000,1,1,2,0
14,12,5.85,18.61,72000,1,1,1,0
24,16,20.75,25.39,29000,2,1,2,0
14,17,17,18.64,8700,1,1,1,0
14,13,7.05,18.61,45000,1,1,1,0
24,10,9.65,20.45,50024,2,1,1,0
41,16,1.75,1.9,3000,1,2,1,0
41,17,1.7,1.82,1400,1,2,1,0
24,17,1.65,1.78,4000,1,2,1,0
10,17,1.45,1.6,1200,1,2,1,0
